Section,Section ID,Trade Value,Year,Country,,,,,,,,
"""Animal Products""",1,2921329870,2010,,,,,,,,,
"""Vegetable Products""",2,2564651511,2010,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,15596210513,2010,,,,,,,,,
"""Foodstuffs""",4,4969167780,2010,,,,,,,,,
"""Mineral Products""",5,58972757178,2010,,,,,,,,,
"""Chemical Products""",6,7737181979,2010,,,,,,,,,
"""Plastics and Rubbers""",7,12447953163,2010,,,,,,,,,
"""Animal Hides""",8,515743428.8,2010,,,,,,,,,
"""Wood Products""",9,3191930453,2010,,,,,,,,,
"""Paper Goods""",10,6204593126,2010,,,,,,,,,
"""Textiles""",11,13081679412,2010,,,,,,,,,
"""Footwear and Headwear""",12,3649477596,2010,,,,,,,,,
"""Stone And Glass""",13,998638784.1,2010,,,,,,,,,
"""Precious Metals""",14,3301867077,2010,,,,,,,,,
"""Metals""",15,10695753707,2010,,,,,,,,,
"""Machines""",16,20644593423,2010,,,,,,,,,
"""Transportation""",17,3860974892,2010,,,,,,,,,
"""Instruments""",18,1784377808,2010,,,,,,,,,
"""Weapons""",19,8590682.87,2010,,,,,,,,,
"""Miscellaneous""",20,3155936574,2010,,,,,,,,,
"""Arts and Antiques""",21,26393263.57,2010,,,,,,,,,
"""Animal Products""",1,3445871795,2011,,,,,,,,,
"""Vegetable Products""",2,3250810652,2011,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,21637808509,2011,,,,,,,,,
"""Foodstuffs""",4,5311545345,2011,,,,,,,,,
"""Mineral Products""",5,79930781430,2011,,,,,,,,,
"""Chemical Products""",6,11402268886,2011,,,,,,,,,
"""Plastics and Rubbers""",7,18400599493,2011,,,,,,,,,
"""Animal Hides""",8,587710041.1,2011,,,,,,,,,
"""Wood Products""",9,3601250165,2011,,,,,,,,,
"""Paper Goods""",10,6885383655,2011,,,,,,,,,
"""Textiles""",11,15731307783,2011,,,,,,,,,
"""Footwear and Headwear""",12,4613978264,2011,,,,,,,,,
"""Stone And Glass""",13,1066461230,2011,,,,,,,,,
"""Precious Metals""",14,3313853231,2011,,,,,,,,,
"""Metals""",15,13831206549,2011,,,,,,,,,
"""Machines""",16,21750463044,2011,,,,,,,,,
"""Transportation""",17,5470406385,2011,,,,,,,,,
"""Instruments""",18,1819311192,2011,,,,,,,,,
"""Weapons""",19,4104567.765,2011,,,,,,,,,
"""Miscellaneous""",20,3153185534,2011,,,,,,,,,
"""Arts and Antiques""",21,35439265.13,2011,,,,,,,,,
"""Animal Products""",1,3559257774,2012,,,,,,,,,
"""Vegetable Products""",2,3467328643,2012,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,21943248150,2012,,,,,,,,,
"""Foodstuffs""",4,5532251450,2012,,,,,,,,,
"""Mineral Products""",5,74154363813,2012,,,,,,,,,
"""Chemical Products""",6,10931046238,2012,,,,,,,,,
"""Plastics and Rubbers""",7,14151070612,2012,,,,,,,,,
"""Animal Hides""",8,666535820.9,2012,,,,,,,,,
"""Wood Products""",9,3558874108,2012,,,,,,,,,
"""Paper Goods""",10,6424806756,2012,,,,,,,,,
"""Textiles""",11,15120900901,2012,,,,,,,,,
"""Footwear and Headwear""",12,5198773995,2012,,,,,,,,,
"""Stone And Glass""",13,987102017.5,2012,,,,,,,,,
"""Precious Metals""",14,3954942369,2012,,,,,,,,,
"""Metals""",15,10144326108,2012,,,,,,,,,
"""Machines""",16,21180247759,2012,,,,,,,,,
"""Transportation""",17,5873495544,2012,,,,,,,,,
"""Instruments""",18,2191377762,2012,,,,,,,,,
"""Weapons""",19,6386697.26,2012,,,,,,,,,
"""Miscellaneous""",20,3135190836,2012,,,,,,,,,
"""Arts and Antiques""",21,32935606.99,2012,,,,,,,,,
"""Animal Products""",1,3655685575,2013,,,,,,,,,
"""Vegetable Products""",2,3497884630,2013,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,20073823079,2013,,,,,,,,,
"""Foodstuffs""",4,6204218437,2013,,,,,,,,,
"""Mineral Products""",5,69349249636,2013,,,,,,,,,
"""Chemical Products""",6,10708831616,2013,,,,,,,,,
"""Plastics and Rubbers""",7,12865985939,2013,,,,,,,,,
"""Animal Hides""",8,692580439.4,2013,,,,,,,,,
"""Wood Products""",9,3592863165,2013,,,,,,,,,
"""Paper Goods""",10,6691663144,2013,,,,,,,,,
"""Textiles""",11,15520067415,2013,,,,,,,,,
"""Footwear and Headwear""",12,5637650032,2013,,,,,,,,,
"""Stone And Glass""",13,1002854179,2013,,,,,,,,,
"""Precious Metals""",14,3103873904,2013,,,,,,,,,
"""Metals""",15,9523703216,2013,,,,,,,,,
"""Machines""",16,20035004402,2013,,,,,,,,,
"""Transportation""",17,5908076354,2013,,,,,,,,,
"""Instruments""",18,2113575145,2013,,,,,,,,,
"""Weapons""",19,1359041.958,2013,,,,,,,,,
"""Miscellaneous""",20,3459578255,2013,,,,,,,,,
"""Arts and Antiques""",21,30952262.34,2013,,,,,,,,,
"""Animal Products""",1,3945589854,2014,,,,,,,,,
"""Vegetable Products""",2,3603989316,2014,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,22022581033,2014,,,,,,,,,
"""Foodstuffs""",4,6936316931,2014,,,,,,,,,
"""Mineral Products""",5,58330604121,2014,,,,,,,,,
"""Chemical Products""",6,11782622957,2014,,,,,,,,,
"""Plastics and Rubbers""",7,11038711039,2014,,,,,,,,,
"""Animal Hides""",8,728629218.5,2014,,,,,,,,,
"""Wood Products""",9,4220297657,2014,,,,,,,,,
"""Paper Goods""",10,7074078682,2014,,,,,,,,,
"""Textiles""",11,15889645887,2014,,,,,,,,,
"""Footwear and Headwear""",12,6042930896,2014,,,,,,,,,
"""Stone And Glass""",13,1028565938,2014,,,,,,,,,
"""Precious Metals""",14,4042958179,2014,,,,,,,,,
"""Metals""",15,10361537196,2014,,,,,,,,,
"""Machines""",16,20388056042,2014,,,,,,,,,
"""Transportation""",17,6807888697,2014,,,,,,,,,
"""Instruments""",18,2323116724,2014,,,,,,,,,
"""Weapons""",19,4236865.563,2014,,,,,,,,,
"""Miscellaneous""",20,3433142708,2014,,,,,,,,,
"""Arts and Antiques""",21,26876265.37,2014,,,,,,,,,
"""Animal Products""",1,3374357910,2015,,,,,,,,,
"""Vegetable Products""",2,4068970701,2015,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,19497545900,2015,,,,,,,,,
"""Foodstuffs""",4,6689318369,2015,,,,,,,,,
"""Mineral Products""",5,41581979189,2015,,,,,,,,,
"""Chemical Products""",6,9147394390,2015,,,,,,,,,
"""Plastics and Rubbers""",7,9312240899,2015,,,,,,,,,
"""Animal Hides""",8,704897054.8,2015,,,,,,,,,
"""Wood Products""",9,4141605063,2015,,,,,,,,,
"""Paper Goods""",10,6403893067,2015,,,,,,,,,
"""Textiles""",11,15461542107,2015,,,,,,,,,
"""Footwear and Headwear""",12,6512743915,2015,,,,,,,,,
"""Stone And Glass""",13,962449913.9,2015,,,,,,,,,
"""Precious Metals""",14,5828247515,2015,,,,,,,,,
"""Metals""",15,8907033053,2015,,,,,,,,,
"""Machines""",16,18730865538,2015,,,,,,,,,
"""Transportation""",17,6530345815,2015,,,,,,,,,
"""Instruments""",18,2142374459,2015,,,,,,,,,
"""Weapons""",19,776742.182,2015,,,,,,,,,
"""Miscellaneous""",20,3238712102,2015,,,,,,,,,
"""Arts and Antiques""",21,24443662.57,2015,,,,,,,,,
"""Animal Products""",1,3542557246,2016,,,,,,,,,
"""Vegetable Products""",2,3372960305,2016,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,18246463693,2016,,,,,,,,,
"""Foodstuffs""",4,6330212096,2016,,,,,,,,,
"""Mineral Products""",5,34618153583,2016,,,,,,,,,
"""Chemical Products""",6,9860721504,2016,,,,,,,,,
"""Plastics and Rubbers""",7,8663188575,2016,,,,,,,,,
"""Animal Hides""",8,698400309,2016,,,,,,,,,
"""Wood Products""",9,3952497025,2016,,,,,,,,,
"""Paper Goods""",10,6148460273,2016,,,,,,,,,
"""Textiles""",11,14797990354,2016,,,,,,,,,
"""Footwear and Headwear""",12,6831579257,2016,,,,,,,,,
"""Stone And Glass""",13,907819982.8,2016,,,,,,,,,
"""Precious Metals""",14,6362318578,2016,,,,,,,,,
"""Metals""",15,7968045486,2016,,,,,,,,,
"""Machines""",16,17986395833,2016,,,,,,,,,
"""Transportation""",17,7017092039,2016,,,,,,,,,
"""Instruments""",18,2118607170,2016,,,,,,,,,
"""Weapons""",19,249208.7231,2016,,,,,,,,,
"""Miscellaneous""",20,2993606645,2016,,,,,,,,,
"""Arts and Antiques""",21,29809150.54,2016,,,,,,,,,
"""Animal Products""",1,3610208846,2017,,,,,,,,,
"""Vegetable Products""",2,3966358158,2017,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,23233705700,2017,,,,,,,,,
"""Foodstuffs""",4,7245106733,2017,,,,,,,,,
"""Mineral Products""",5,44100307075,2017,,,,,,,,,
"""Chemical Products""",6,11658081400,2017,,,,,,,,,
"""Plastics and Rubbers""",7,11208830319,2017,,,,,,,,,
"""Animal Hides""",8,733759034.9,2017,,,,,,,,,
"""Wood Products""",9,4165341980,2017,,,,,,,,,
"""Paper Goods""",10,6839641577,2017,,,,,,,,,
"""Textiles""",11,14915694237,2017,,,,,,,,,
"""Footwear and Headwear""",12,7171495834,2017,,,,,,,,,
"""Stone And Glass""",13,869361514.5,2017,,,,,,,,,
"""Precious Metals""",14,5739687889,2017,,,,,,,,,
"""Metals""",15,10404122438,2017,,,,,,,,,
"""Machines""",16,17772557590,2017,,,,,,,,,
"""Transportation""",17,7865955889,2017,,,,,,,,,
"""Instruments""",18,2115516170,2017,,,,,,,,,
"""Weapons""",19,873517.2943,2017,,,,,,,,,
"""Miscellaneous""",20,3093266414,2017,,,,,,,,,
"""Arts and Antiques""",21,223231743.2,2017,,,,,,,,,
"""Animal Products""",1,3797800566,2018,,,,,,,,,
"""Vegetable Products""",2,3507743652,2018,,,,,,,,,
"""Animal and Vegetable Bi-Products""",3,21453912816,2018,,,,,,,,,
"""Foodstuffs""",4,8519610625,2018,,,,,,,,,
"""Mineral Products""",5,54119077849,2018,,,,,,,,,
"""Chemical Products""",6,13398849118,2018,,,,,,,,,
"""Plastics and Rubbers""",7,10069343756,2018,,,,,,,,,
"""Animal Hides""",8,901813573.3,2018,,,,,,,,,
"""Wood Products""",9,4880007397,2018,,,,,,,,,
"""Paper Goods""",10,8528557018,2018,,,,,,,,,
"""Textiles""",11,15351459878,2018,,,,,,,,,
"""Footwear and Headwear""",12,7613000012,2018,,,,,,,,,
"""Stone And Glass""",13,925208231.9,2018,,,,,,,,,
"""Precious Metals""",14,5942595050,2018,,,,,,,,,
"""Metals""",15,13959249884,2018,,,,,,,,,
"""Machines""",16,20255757066,2018,,,,,,,,,
"""Transportation""",17,8818892618,2018,,,,,,,,,
"""Instruments""",18,2246558312,2018,,,,,中国,"7,444",21.4,18.3,
"""Weapons""",19,962194.9513,2018,,,,,日本,"6,727",-20.5,16.5,
"""Miscellaneous""",20,3341002472,2018,,,,,印度,"4,559",-26.1,11.2,
"""Arts and Antiques""",21,32793403.65,2018,,,,,韩国,"3,908",-13.7,9.6,
,,,,,,,,新加坡,"3,324",-27.7,8.2,
"""Chemical Products""",,7444,,China,,,,,,,,
"""Chemical Products""",,6727,,Japan,,,,国家和地区,金额,同比%,占比%,
"""Chemical Products""",,4559,,India,,,,日本,"6,181",-23,19.6,
"""Chemical Products""",,3908,,Korea,,,,中国,"6,016",20.9,19,
"""Chemical Products""",,3324,,Singapore,,,,印度,"4,007",-28.3,12.7,
"""Mineral Products""",,6181,,Japan,,,,韩国,"3,423",-16.9,10.8,
"""Mineral Products""",,6016,,China,,,,新加坡,"2,648",-35.2,8.4,
"""Mineral Products""",,4007,,India,,,,,,,,
"""Mineral Products""",,3423,,Korea,,,,,,,,
"""Mineral Products""",,2648,,Singapore,,,,国家和地区,金额,同比%,占比%,
"""Animal and Vegetable Bi-Products""",,3493,,India,,,,印度,"3,493",4,19.2,
"""Animal and Vegetable Bi-Products""",,2738,,China,,,,中国,"2,738",-6.8,15,
"""Animal and Vegetable Bi-Products""",,1310,,Pakistan,,,,巴基斯坦,"1,310",-1.3,7.2,
"""Animal and Vegetable Bi-Products""",,1008,,Netherlands,,,,荷兰,"1,008",-8.1,5.5,
"""Animal and Vegetable Bi-Products""",,962,,America,,,,美国,962,49.9,5.3,
"""Machines""",,2616,,Singapore,,,,,,,,
"""Machines""",,1833,,America,,,,,,,,
"""Machines""",,1733,,Japan,,,,国家和地区,金额,同比%,占比%,
"""Machines""",,840,,Thailand,,,,新加坡,"2,616",-3.8,19.2,
"""Machines""",,559,,Malaysia,,,,美国,"1,833",-1.9,13.5,
,,,,,,,,日本,"1,733",-4.8,12.7,
,,,,,,,,泰国,840,2.6,6.2,
,,,,,,,,马来西亚,559,0.6,4.1,
